Year,BDANumber,ReferenceNumber,Downstream,Comments,BDAPresent,LineLength,geometry
2017,30.0,,1.0,,0,2.6810479511947625,"LINESTRING (691332.9707009316 4727991.97673963, 691335.4645647974 4727990.99253379)"
2017,30.0,,0.0,,0,8.081462928945585,"LINESTRING (691325.162134456 4727988.329752665, 691328.9829494072 4727981.208557809)"
2017,28.0,,1.0,,0,1.812263560489956,"LINESTRING (691315.6449585927 4728037.415358383, 691317.4047557586 4728036.982445981)"
2017,28.0,,0.0,,0,3.65791116595557,"LINESTRING (691309.9538217986 4728028.84689144, 691313.5426425142 4728029.554478869)"
2017,27.0,,1.0,,0,4.833170586599035,"LINESTRING (691295.419446609 4728069.161821691, 691296.7106307589 4728073.81932976)"
2017,27.0,,0.0,,0,3.1595567568901433,"LINESTRING (691304.9250277674 4728067.629755293, 691306.0510709526 4728070.581843646)"
2017,26.0,,0.0,,0,2.813444398263762,"LINESTRING (691279.9521903964 4728067.23900126, 691277.7473176923 4728068.986572644)"
2017,26.0,,1.0,,0,3.6655916864774434,"LINESTRING (691275.9171616522 4728058.618737561, 691272.8340881005 4728060.601467973)"
2017,25.0,,1.0,,0,4.4970543369822975,"LINESTRING (691260.573054235 4728068.737263656, 691264.8374720914 4728070.164932405)"
2017,25.0,,0.0,,0,3.656667960025828,"LINESTRING (691265.0853566405 4728059.940697544, 691268.3886126123 4728061.509047172)"
2017,24.0,,1.0,,0,4.762284592063608,"LINESTRING (691253.0729792379 4728070.50640565, 691248.72198721 4728072.4424384255)"
2017,24.0,,0.0,,0,6.057928812850354,"LINESTRING (691258.0419858142 4728075.352559141, 691259.6195266626 4728081.201479244)"
2017,23.0,,0.0,,0,2.877751050331946,"LINESTRING (691249.7730398139 4728069.584144851, 691247.8795903081 4728071.751239698)"
2017,23.0,,1.0,,0,3.191639123029355,"LINESTRING (691240.5642524953 4728068.219319208, 691241.159992688 4728071.354866036)"
2017,22.0,,0.0,,0,3.265973018631769,"LINESTRING (691224.0909234644 4728093.288957407, 691227.2562374658 4728094.093548627)"
2017,22.0,,1.0,,0,3.027535744547262,"LINESTRING (691220.136682521 4728101.971072891, 691222.6478345308 4728103.66225244)"
2017,21.0,,1.0,,0,4.230939294985342,"LINESTRING (691208.9856566058 4728120.042398872, 691213.178584215 4728119.476531942)"
2017,21.0,,0.0,,0,1.9595695585822284,"LINESTRING (691213.3175370774 4728110.352386776, 691215.0069248623 4728111.345302567)"
2017,20.0,,0.0,,0,4.809005423813348,"LINESTRING (691211.5249025862 4728123.82767443, 691214.9111227863 4728120.41299349)"
2017,20.0,,1.0,,0,3.5346434429776923,"LINESTRING (691218.7762429793 4728128.555243952, 691222.0105337014 4728127.129387089)"
2017,19.0,,1.0,,0,3.402159215001166,"LINESTRING (691207.4942418716 4728136.964171179, 691209.958615888 4728139.309709077)"
2017,19.0,,0.0,,0,3.249788778281481,"LINESTRING (691216.585234056 4728133.335199947, 691217.8769298414 4728136.317254457)"
2017,18.0,,0.0,,0,3.3902782083719583,"LINESTRING (691211.2726238118 4728158.760114877, 691212.2618400521 4728155.517363335)"
2017,18.0,,1.0,,0,4.335323247915926,"LINESTRING (691216.9648846808 4728164.050842748, 691220.7384482031 4728161.916540518)"
2017,17.0,,1.0,,0,2.5808712861141934,"LINESTRING (691198.4111212386 4728174.217739515, 691199.9953759956 4728176.255148031)"
2017,17.0,,0.0,,0,2.4355550292979076,"LINESTRING (691208.0269748922 4728171.15622779, 691208.319759393 4728173.574120578)"
2017,16.0,,1.0,,0,5.6732479843659585,"LINESTRING (691192.8049519014 4728191.280761689, 691192.3488355139 4728196.935644582)"
2017,16.0,,0.0,,0,3.803094255268295,"LINESTRING (691201.3912860143 4728190.5599630745, 691203.7138642044 4728193.571467095)"
2017,15.0,,1.0,,0,5.195978055317666,"LINESTRING (691189.0143859227 4728214.231549087, 691194.1815883397 4728214.777632535)"
2017,15.0,,0.0,,0,3.9836146361496785,"LINESTRING (691186.478525181 4728205.086031996, 691190.3073462986 4728203.986343668)"
2017,14.0,,1.0,,0,2.2006669928165614,"LINESTRING (691206.2450409977 4728213.032458769, 691207.0980950177 4728211.003854803)"
2017,14.0,,0.0,,0,3.9625984367261946,"LINESTRING (691200.5340826878 4728218.39432786, 691197.3503301337 4728216.035110608)"
2017,13.0,,1.0,,0,1.9569370372247674,"LINESTRING (691214.5001627976 4728210.1096088225, 691213.9632001607 4728208.2277816)"
2017,13.0,,0.0,,0,2.2914289391647755,"LINESTRING (691206.0319273161 4728212.960913463, 691206.9201637799 4728210.8486439325)"
2017,12.0,,0.0,,0,3.468583780772725,"LINESTRING (691233.8290875321 4728208.733199229, 691235.3590724157 4728205.6202874575)"
2017,12.0,,1.0,,0,3.2222276251550177,"LINESTRING (691242.3385176302 4728213.893737146, 691243.6157758432 4728210.935466988)"
2017,29.0,,0.0,,0,5.9244262164347905,"LINESTRING (691325.4258068918 4728001.7881545955, 691329.0060297513 4728006.508412032)"
2017,29.0,,1.0,,0,6.2419197020147115,"LINESTRING (691317.964953519 4728006.405207595, 691321.2581560516 4728011.707695562)"
2017,9.0,,1.0,,0,2.7237252516386263,"LINESTRING (691247.1646569881 4728337.80873348, 691249.8773452193 4728337.563780817)"
2017,9.0,,0.0,,0,4.415980130076899,"LINESTRING (691241.2074476719 4728330.8829546245, 691245.1408223178 4728328.87560702)"
2017,10.0,,0.0,,0,2.2284912516722923,"LINESTRING (691250.4866297327 4728313.972864218, 691252.5670785664 4728314.771554339)"
2017,10.0,,1.0,,0,3.1820883682371055,"LINESTRING (691244.4504233281 4728321.223741382, 691247.2507680379 4728322.734951457)"
2017,,5.0,,,0,2.3174539596337786,"LINESTRING (691226.1294788902 4728290.2056813855, 691228.4468169858 4728290.228854766)"
2017,,6.0,,,0,3.1181125296716936,"LINESTRING (691225.0807130871 4728253.709606705, 691227.4728959433 4728255.709628438)"
2017,,7.0,,,0,2.6702896651591046,"LINESTRING (691221.0863158567 4728247.397377009, 691222.4822114666 4728245.120993398)"
2017,,8.0,,,0,2.7245012893461507,"LINESTRING (691246.2997204148 4728234.271070079, 691248.5918980582 4728235.743764523)"
2017,,9.0,,,0,2.963211768436615,"LINESTRING (691228.0885363028 4728076.917463095, 691227.1247007264 4728074.115384408)"
2017,,10.0,,,0,4.283531237247668,"LINESTRING (691313.4298871795 4728051.369166819, 691317.2936005414 4728053.218588058)"
2017,,11.0,,,0,4.241876547716695,"LINESTRING (691313.0663779103 4728018.604566405, 691316.7310891183 4728020.740779973)"
2022,30.0,,1.0,,1,3.063358707895324,"LINESTRING (691333.5962172318 4727991.729879004, 691336.4456998704 4727990.605327864)"
2022,30.0,,0.0,,1,3.1161501938286893,"LINESTRING (691326.271078295 4727986.262914762, 691327.7443552694 4727983.5170365805)"
2022,31.0,,1.0,,1,3.074575919427709,"LINESTRING (691334.3126448534 4727958.0759763345, 691337.1487088278 4727956.888643939)"
2022,31.0,,0.0,,1,2.9428338443845856,"LINESTRING (691327.9358318171 4727951.834600983, 691329.4856093017 4727949.332909399)"
2022,32.0,,0.0,,1,2.5404575174225026,"LINESTRING (691314.8340745851 4727937.547646638, 691316.6656195541 4727935.7871446)"
2022,32.0,,1.0,,1,2.8795860653033407,"LINESTRING (691321.4907514069 4727944.3721102895, 691324.2213021204 4727943.457720488)"
2022,33.0,,0.0,,1,1.8343157444599525,"LINESTRING (691312.7703380919 4727900.325941292, 691314.1884949045 4727899.162521546)"
2022,33.0,,1.0,,1,2.7321748269576513,"LINESTRING (691315.3396423256 4727909.31305766, 691318.0434421948 4727908.920316584)"
2022,34.0,,0.0,,1,3.3336813210153187,"LINESTRING (691296.8563597135 4727887.816214316, 691296.6077695487 4727884.491814508)"
2022,34.0,,1.0,,1,2.570371598727272,"LINESTRING (691304.6533078857 4727891.608803057, 691306.3081743808 4727889.642022175)"
2022,35.0,,0.0,,1,3.3117059486216798,"MULTILINESTRING ((691267.7935254931 4727888.974766645, 691268.2164895169 4727886.978736297), (691268.4502659088 4727885.875510616, 691268.7138170401 4727884.631773498))"
2022,35.0,,1.0,,1,1.539618474121829,"LINESTRING (691276.880092403 4727891.539674731, 691277.88997909 4727890.37754138)"
2022,36.0,,0.0,,1,3.5878663010690937,"LINESTRING (691268.5553946297 4727871.246078967, 691269.606813611 4727874.6764292)"
2022,36.0,,1.0,,1,3.5140024775491954,"LINESTRING (691258.7423808259 4727876.829752034, 691261.7245986504 4727878.688404841)"
2022,37.0,,0.0,,1,3.95015111239862,"LINESTRING (691277.3595115715 4727853.877420833, 691281.1745474769 4727852.853118705)"
2022,37.0,,1.0,,1,2.47842324716947,"LINESTRING (691279.8818106751 4727862.951793403, 691282.358948851 4727863.031594718)"
2022,38.0,,0.0,,1,4.049376960316277,"LINESTRING (691277.946224593 4727831.0150080025, 691281.7074274209 4727832.515276996)"
2022,38.0,,1.0,,1,3.019470297961787,"LINESTRING (691276.8440087904 4727841.160643666, 691279.7877153297 4727841.832798924)"
2022,39.0,,1.0,,1,2.243499803226205,"LINESTRING (691311.884271178 4727824.074695069, 691310.5725470274 4727825.894769551)"
2022,39.0,,0.0,,1,2.3211601876020533,"LINESTRING (691320.4809538482 4727828.269252933, 691319.9379446222 4727830.526004048)"
2022,40.0,,0.0,,1,2.902105352310241,"LINESTRING (691316.5965012853 4727789.04705177, 691319.4137859195 4727789.743559319)"
2022,40.0,,1.0,,1,2.579083232344096,"LINESTRING (691316.287405673 4727799.364208986, 691318.864934656 4727799.274684346)"
2022,999.0,,0.0,Old beaver Dam,1,3.9258322915264174,"LINESTRING (691332.3737963854 4727774.980555847, 691331.7689304245 4727778.859511422)"
2022,999.0,,1.0,Old beaver Dam,1,4.752079822575886,"LINESTRING (691321.1170613295 4727777.932752821, 691324.1812595174 4727781.5649631815)"
2022,41.0,,0.0,,1,4.428847681410198,"LINESTRING (691375.5702162151 4727730.876466314, 691374.6528142405 4727735.209255878)"
2022,41.0,,1.0,,1,6.238931297654919,"LINESTRING (691367.0882422999 4727724.97217735, 691366.3729179349 4727731.169965245)"
2022,42.0,,0.0,,1,3.899376450062506,"LINESTRING (691382.584442992 4727713.773452488, 691385.9171038986 4727715.7979296995)"
2022,42.0,,1.0,,1,3.5836023850371057,"LINESTRING (691379.9581773878 4727724.396920283, 691383.5417698894 4727724.405336733)"
2022,43.0,,0.0,,1,3.165453920645959,"LINESTRING (691410.9435890898 4727717.554379034, 691412.8177839156 4727720.105357724)"
2022,43.0,,1.0,,1,2.8201676992537057,"LINESTRING (691402.8914496654 4727722.771567923, 691403.9168054598 4727725.398732049)"
2022,44.0,,0.0,,1,3.484242281008201,"LINESTRING (691404.1516719798 4727691.609653465, 691406.100767075 4727694.497727665)"
2022,44.0,,1.0,,1,3.5526796418304962,"LINESTRING (691396.293986811 4727698.10360886, 691398.6193911857 4727700.7895029625)"
2022,45.0,,0.0,,1,4.768859929490461,"LINESTRING (691410.6336774786 4727678.706567037, 691415.3862446034 4727678.312700624)"
2022,45.0,,1.0,,1,5.284467650089724,"LINESTRING (691415.7047698522 4727687.736172925, 691420.4172692731 4727685.3449499)"
2022,46.0,,1.0,,1,1.9295236091703465,"LINESTRING (691412.1892643876 4727669.912209114, 691413.9859621216 4727670.615727849)"
2022,46.0,,0.0,,1,3.632435816884875,"LINESTRING (691414.0223555933 4727661.48799337, 691417.4227513658 4727660.210535522)"
2022,29.0,,0.0,,1,3.131361975615435,"LINESTRING (691327.2156420881 4728004.147919121, 691329.1079728077 4728006.642816368)"
2022,,12.0,,,0,2.8181442013570375,"LINESTRING (691333.1255098868 4727922.986572016, 691335.2008395173 4727924.893124838)"
2022,,13.0,,,0,3.170966062915733,"LINESTRING (691294.0606218573 4727824.500678046, 691296.8617819591 4727825.986789702)"
2022,,14.0,,,0,2.462961224965927,"LINESTRING (691325.7774586771 4727817.574450298, 691327.0434557389 4727815.461767304)"
2022,,15.0,,,0,2.768672309170489,"LINESTRING (691361.3351491761 4727766.415503161, 691359.1702624745 4727764.689579662)"
2022,,16.0,,,0,3.5092827603771988,"LINESTRING (691408.4599665657 4727640.692846478, 691405.1797555 4727641.939955478)"
2022,,17.0,,,0,3.5775927672528494,"LINESTRING (691412.2362292996 4727629.25437632, 691414.3108441265 4727632.169019236)"
2022,,18.0,,,0,5.607849585067497,"LINESTRING (691422.7641815799 4727587.757244861, 691426.7999162136 4727591.650935004)"
2022,,19.0,,,0,2.907617151188933,"LINESTRING (691438.517028292 4727565.910069503, 691441.1010841918 4727567.243070855)"
2022,,20.0,,,0,2.331822429468638,"LINESTRING (691449.6996852536 4727543.793391445, 691450.1848535151 4727541.512600441)"
2022,28.0,,1.0,,1,2.8018714431681526,"LINESTRING (691315.5077512184 4728037.449111576, 691318.2285063738 4728036.779802254)"
2022,28.0,,0.0,,1,2.507812343273932,"LINESTRING (691309.1300907544 4728028.684481062, 691311.5905356586 4728029.169593031)"
2022,27.0,,1.0,,1,4.212626488289035,"LINESTRING (691295.1947382017 4728068.35126247, 691296.3201436584 4728072.410780235)"
2022,27.0,,0.0,,1,3.3426509035900773,"LINESTRING (691304.7789591525 4728067.2468148675, 691305.970255768 4728070.369974716)"
2022,26.0,,0.0,,1,2.982296383401143,"LINESTRING (691279.8369864043 4728067.330311384, 691277.4997858198 4728069.182765202)"
2022,26.0,,1.0,,1,3.388881716741078,"LINESTRING (691276.1072744176 4728058.496475683, 691273.2569374231 4728060.329532776)"
2022,25.0,,1.0,,1,3.6942525949908034,"LINESTRING (691262.0044504618 4728069.216475527, 691265.5075961993 4728070.389280787)"
2022,25.0,,0.0,,1,3.2631593517674844,"LINESTRING (691263.6486152292 4728059.258548514, 691266.5963946647 4728060.65812179)"
2022,24.0,,1.0,,1,5.016561572037346,"LINESTRING (691253.388970394 4728070.365801109, 691248.8056619028 4728072.405206238)"
2022,24.0,,0.0,,1,4.00912239715747,"LINESTRING (691258.499860044 4728077.050182242, 691259.5438726997 4728080.920983189)"
2022,23.0,,0.0,,1,3.954690864266633,"LINESTRING (691250.5398235173 4728068.70654394, 691247.9377890353 4728071.684629967)"
2022,23.0,,1.0,,1,2.832616504618582,"LINESTRING (691240.3462108694 4728067.071705303, 691240.8749371562 4728069.85453925)"
2022,22.0,,0.0,,1,3.818802169041968,"LINESTRING (691223.8401179792 4728093.225205156, 691227.541222644 4728094.165989013)"
2022,22.0,,1.0,,1,3.544066953032147,"LINESTRING (691219.3584948775 4728101.446988717, 691222.2980772984 4728103.426702271)"
2022,21.0,,1.0,,1,2.841758976688628,"LINESTRING (691208.920926553 4728120.051134677, 691211.7371545442 4728119.671063653)"
2022,21.0,,0.0,,1,2.5935041371472343,"LINESTRING (691212.6863815036 4728109.981433263, 691214.9222981572 4728111.295564317)"
2022,20.0,,0.0,,1,3.4687500530787796,"LINESTRING (691211.1818354662 4728124.173624985, 691213.624326265 4728121.710605369)"
2022,20.0,,1.0,,1,3.3626620556943596,"LINESTRING (691219.2587223051 4728128.3425399875, 691222.335645583 4728126.986059526)"
2022,19.0,,1.0,,1,3.583644124609981,"LINESTRING (691207.5628845023 4728137.029503751, 691210.1587181796 4728139.500162111)"
2022,19.0,,0.0,,1,3.150385344474903,"LINESTRING (691216.6884701122 4728133.573534353, 691217.9406559464 4728136.464374794)"
2022,18.0,,0.0,,1,2.8877353544822855,"LINESTRING (691211.1767507652 4728159.0743964845, 691212.0193349231 4728156.312319836)"
2022,18.0,,1.0,,1,3.527026354914718,"LINESTRING (691217.2509051699 4728163.889071477, 691220.3209087739 4728162.15269802)"
2022,17.0,,1.0,,1,2.6901265180913403,"LINESTRING (691198.375933058 4728174.172486251, 691200.0272535855 4728176.296143756)"
2022,17.0,,0.0,,1,2.554558742429738,"LINESTRING (691207.9914443718 4728170.862807239, 691208.298534623 4728173.398840746)"
2022,16.0,,1.0,,1,2.7601382661045344,"LINESTRING (691192.8040641389 4728191.291768074, 691192.5821552258 4728194.042971389)"
2022,16.0,,0.0,,1,2.532974703752067,"LINESTRING (691202.4452673467 4728191.926577569, 691203.9921739987 4728193.932329463)"
2022,15.0,,1.0,,1,3.706797393788974,"LINESTRING (691189.1636642987 4728214.2473252155, 691192.8499332261 4728214.636899744)"
2022,15.0,,0.0,,1,3.0795582220190543,"LINESTRING (691185.569230974 4728205.347193381, 691188.5291250979 4728204.497072438)"
2022,14.0,,1.0,,1,2.4299092544056924,"LINESTRING (691206.1921644117 4728213.158201864, 691207.134080596 4728210.918279346)"
2022,14.0,,0.0,,1,1.771895421502982,"LINESTRING (691200.702665162 4728218.519250471, 691199.2790345154 4728217.464314849)"
2022,13.0,,1.0,,1,2.03653559305275,"LINESTRING (691214.5731752532 4728210.365486639, 691214.0143716224 4728208.407115958)"
2022,13.0,,0.0,,1,2.73450822735867,"LINESTRING (691205.9270042282 4728213.21042567, 691206.9869934239 4728210.689719787)"
2022,12.0,,0.0,,1,2.4020798592642376,"LINESTRING (691234.724315826 4728206.911765093, 691235.7838681119 4728204.755996876)"
2022,12.0,,1.0,,1,3.907003966484038,"LINESTRING (691242.4994366305 4728213.521031085, 691244.0481332105 4728209.934079887)"
2022,29.0,,0.0,,1,3.325416801428454,"LINESTRING (691327.2037419613 4728004.1322296895, 691329.2133430291 4728006.781739163)"
2022,29.0,,1.0,,1,3.6828900157627307,"LINESTRING (691318.6678198379 4728007.536914547, 691320.6108923715 4728010.665516151)"
2022,,5.0,,,0,2.3492631741302903,"LINESTRING (691226.7878171386 4728290.212264768, 691229.1369628584 4728290.235756225)"
2022,,6.0,,,0,3.396565201516521,"LINESTRING (691225.6475471003 4728254.18351711, 691228.2533558924 4728256.362144133)"
2022,,7.0,,,0,2.5769601984897053,"LINESTRING (691221.2982397873 4728247.051777983, 691222.6453473597 4728244.854956403)"
2022,,8.0,,,0,2.050436266032245,"LINESTRING (691246.7561037132 4728234.564290436, 691248.481176917 4728235.672627624)"
2022,,9.0,,,0,2.4193723164043988,"LINESTRING (691228.1134144055 4728076.9897891255, 691227.3264719615 4728074.701977071)"
2022,,10.0,,,0,3.7702683471556884,"LINESTRING (691313.9050332468 4728051.5966022285, 691317.3057872939 4728053.22442142)"
2022,,11.0,,,0,3.17240564059099,"LINESTRING (691312.2567542528 4728018.132624975, 691314.9975107025 4728019.730251851)"
2023,30.0,,1.0,,1,2.7435250186275075,"LINESTRING (691333.6780042853 4727991.697601662, 691336.2299832257 4727990.690460651)"
2023,30.0,,0.0,,1,2.257885193168918,"LINESTRING (691326.0754643711 4727986.627497943, 691327.1429643497 4727984.637902672)"
2023,31.0,,1.0,,1,4.522242436083967,"LINESTRING (691333.4788103149 4727958.425065343, 691337.6502372668 4727956.678676545)"
2023,31.0,,0.0,,1,2.7915010795691138,"LINESTRING (691327.6806970837 4727952.246446182, 691329.1507785594 4727949.873401991)"
2023,32.0,,0.0,,1,2.9438334708244596,"LINESTRING (691314.7342682006 4727937.64358168, 691316.8566274001 4727935.603545668)"
2023,32.0,,1.0,,1,2.9540240594091434,"LINESTRING (691321.02143017 4727944.52927366, 691323.8225662778 4727943.591246662)"
2023,33.0,,0.0,,1,1.5810642906565513,"LINESTRING (691312.8409439706 4727900.268018027, 691314.0633055521 4727899.265223703)"
2023,33.0,,1.0,,1,2.5874389812245284,"LINESTRING (691315.2748766663 4727909.322465211, 691317.8354438415 4727908.950529434)"
2023,34.0,,0.0,,1,2.5101930168089868,"LINESTRING (691296.8476539861 4727887.699792501, 691296.6604707387 4727885.196588271)"
2023,34.0,,1.0,,1,2.584778538499686,"LINESTRING (691304.4887770581 4727891.804345166, 691306.1529190845 4727889.826540472)"
2023,35.0,,0.0,,1,3.5456024353547537,"LINESTRING (691267.747200835 4727889.19337962, 691268.4822026264 4727885.7247964805)"
2023,35.0,,1.0,,1,2.3440386861677047,"LINESTRING (691276.6625080154 4727891.790061311, 691278.2000405292 4727890.020736261)"
2023,36.0,,0.0,,1,2.525785417173185,"LINESTRING (691268.762280562 4727871.921063173, 691269.5024582907 4727874.335960459)"
2023,36.0,,1.0,,1,2.300752447508335,"LINESTRING (691259.9072343489 4727877.555741347, 691261.8598069502 4727878.772672759)"
2023,37.0,,0.0,,1,3.000429777568996,"LINESTRING (691277.5373144386 4727853.829682395, 691280.4351142967 4727853.051649727)"
2023,37.0,,1.0,,1,3.3557693321856483,"LINESTRING (691280.0087878564 4727862.955883989, 691283.3628172103 4727863.063934461)"
2023,38.0,,0.0,,1,4.288925528235757,"LINESTRING (691277.7422663157 4727830.933653102, 691281.7259702242 4727832.522673353)"
2023,38.0,,1.0,,1,2.8836099875167953,"LINESTRING (691276.7474396935 4727841.13859343, 691279.5586948936 4727841.780505231)"
2023,39.0,,1.0,,1,3.6493257336917586,"LINESTRING (691312.6485736032 4727823.014192112, 691310.5148944776 4727825.9747649785)"
2023,39.0,,0.0,,1,2.9848853291973154,"LINESTRING (691320.5994068179 4727827.776961349, 691319.901126587 4727830.679020126)"
2023,40.0,,0.0,,1,2.6258254304398547,"LINESTRING (691316.8129147917 4727789.100554934, 691319.3619944218 4727789.730755085)"
2023,40.0,,1.0,,1,3.4759498805365827,"LINESTRING (691315.5047585315 4727799.391392464, 691318.9786136782 4727799.270735963)"
2023,999.0,,0.0,Old beaver Dam,1,4.059612204462618,"LINESTRING (691332.4086860523 4727774.756811287, 691331.783208178 4727778.767949365)"
2023,999.0,,1.0,Old beaver Dam,1,4.694714240778,"LINESTRING (691321.3295666535 4727778.184650378, 691324.3567748248 4727781.773013862)"
2023,41.0,,0.0,,1,2.7838249470383167,"LINESTRING (691375.2641770821 4727732.321855793, 691374.6875290042 4727735.045301832)"
2023,41.0,,1.0,,1,6.294074816030417,"LINESTRING (691367.0830471751 4727725.017189492, 691366.3614003328 4727731.269757254)"
2023,42.0,,0.0,,1,2.0144039641009357,"LINESTRING (691383.2399052808 4727714.17162335, 691384.9615460166 4727715.217461056)"
2023,42.0,,1.0,,1,2.9412607031005216,"LINESTRING (691380.3589900557 4727724.397861634, 691383.300242647 4727724.40476948)"
2023,43.0,,0.0,,1,2.9022454518070395,"LINESTRING (691410.9705454623 4727717.591069526, 691412.6889004104 4727719.929933553)"
2023,43.0,,1.0,,1,2.842269008680484,"LINESTRING (691402.8684395645 4727722.712611498, 691403.9018309469 4727725.360364389)"
2023,44.0,,0.0,,1,2.6895996939860436,"LINESTRING (691404.4350091876 4727692.029488742, 691405.9395789473 4727694.258886946)"
2023,44.0,,1.0,,1,3.362398153335994,"LINESTRING (691396.5095229886 4727698.352557969, 691398.7103787266 4727700.894595609)"
2023,45.0,,0.0,,1,3.293454724843688,"LINESTRING (691411.2619138283 4727678.654502291, 691414.5441164688 4727678.382491535)"
2023,45.0,,1.0,,1,5.158358858715337,"LINESTRING (691415.9200497611 4727687.626935293, 691420.5200898682 4727685.292776531)"
2023,46.0,,1.0,,1,1.3061828613159827,"LINESTRING (691412.2989357833 4727669.955152276, 691413.5152027291 4727670.431396314)"
2023,46.0,,0.0,,1,3.6221413964428963,"LINESTRING (691414.2121265179 4727661.416700386, 691417.6028854781 4727660.142862889)"
2023,,12.0,,,0,3.4695333466704916,"LINESTRING (691332.5980961146 4727922.502050327, 691335.1531198615 4727924.849285998)"
2023,,13.0,,,0,3.3481170976835144,"LINESTRING (691294.0211026162 4727824.479711731, 691296.9787539578 4727826.048847366)"
2023,,14.0,,,0,2.89088595089856,"LINESTRING (691325.7987187055 4727817.53897178, 691327.2846751558 4727815.059222799)"
2023,,15.0,,,0,3.03687570254463,"LINESTRING (691361.6329188831 4727766.652895601, 691359.2583179597 4727764.759780578)"
2023,,16.0,,,0,3.404330746887277,"LINESTRING (691408.5566639238 4727640.656082946, 691405.3745540312 4727641.865894694)"
2023,,17.0,,,0,3.848056229417843,"LINESTRING (691412.1642315418 4727629.153226096, 691414.3956857702 4727632.2882139385)"
2023,,18.0,,,0,4.529319694834652,"LINESTRING (691423.7287847986 4727588.687897242, 691426.9883466117 4727591.832733276)"
2023,,19.0,,,0,3.374023310354641,"LINESTRING (691438.3972505555 4727565.8482814105, 691441.3958106779 4727567.395107351)"
2023,,20.0,,,0,2.3141184208256442,"LINESTRING (691449.7090177038 4727543.749519308, 691450.1905023988 4727541.486044865)"
2023,28.0,,1.0,,1,3.1005336146853106,"LINESTRING (691315.7230701528 4728037.396142838, 691318.7338409849 4728036.65548928)"
2023,28.0,,0.0,,1,1.9329419322757944,"LINESTRING (691310.3705290598 4728028.929051248, 691312.2669616778 4728029.302960113)"
2023,27.0,,1.0,,1,3.5227363399705185,"LINESTRING (691295.1604492969 4728068.227576897, 691296.1015502253 4728071.622278704)"
2023,27.0,,0.0,,1,3.192327895236511,"LINESTRING (691304.9062474943 4728067.580520037, 691306.0439700765 4728070.563227652)"
2023,26.0,,0.0,,1,2.997424496684865,"LINESTRING (691279.9982184113 4728067.202519679, 691277.6491620517 4728069.064370327)"
